Location,latitude,longitude
District 1,10.7773145,106.6999907
District 3,10.778639,106.6870156
District 4,10.7607328,106.7075519
District 5,10.7553616,106.6685441
District 6,10.745886,106.6392921
District 7,10.7375481,106.7302238
District 8,10.7217236,106.6296151
District 10,10.772732,106.6683666
District 11,10.7658124,106.6474946
District 12,10.8616036,106.6609731
Binh Tan District,10.7703708,106.5996353
Binh Thanh District,10.8017639,106.7110322
Go Vap District,10.8306171,106.6779308
Phu Nhuan District,10.7990972,106.6802278
Tan Binh District,10.802583,106.6521157
Tan Phu District,10.7914967,106.6278431
Thu Duc City,10.8298295,106.7617899
Binh Chanh District,10.7500035,106.51488582967849
Cu Chi District,11.0370567,106.50241040288586
Can Gio District,10.5265318,106.88212441007174
Hoc Mon District,10.878345,106.57635314823773
Nha Be District,10.650967049999998,106.72638246812322
